"","id","vendor_id","pickup_datetime","dropoff_datetime","passenger_count","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration"
"1216183","id2025207",2,"2016-06-07 21:30:31","2016-06-07 21:44:42",2,-73.9826278686523,40.7643699645996,-73.9624176025391,40.7991981506348,"N",851
"1199940","id3611613",2,"2016-03-13 04:54:48","2016-03-13 05:11:07",2,-73.9836196899414,40.7557411193848,-73.9682235717773,40.7630310058594,"N",979
"1218256","id0914309",2,"2016-04-07 08:35:29","2016-04-07 08:58:15",1,-73.9856109619141,40.7270088195801,-73.9766464233398,40.7560234069824,"N",1366
"282316","id1135820",2,"2016-05-22 10:33:06","2016-05-22 10:37:15",1,-73.9526519775391,40.7804489135742,-73.9518127441406,40.7912368774414,"N",249
"1029692","id0464562",1,"2016-02-20 20:04:21","2016-02-20 20:22:02",1,-73.9850616455078,40.7535858154297,-73.9907455444336,40.766056060791,"N",1061
"1422729","id2902541",2,"2016-06-11 11:53:12","2016-06-11 12:21:18",2,-73.986701965332,40.7506408691406,-73.9898529052734,40.7186012268066,"N",1686
"51844","id0268174",1,"2016-03-23 07:25:27","2016-03-23 07:32:10",1,-73.978645324707,40.7474708557129,-73.9765472412109,40.7560234069824,"N",403
"166431","id1309439",2,"2016-04-10 01:14:29","2016-04-10 01:31:42",1,-73.9911422729492,40.7322006225586,-73.9566421508789,40.7691383361816,"N",1033
"745625","id0966884",2,"2016-04-06 11:16:25","2016-04-06 11:40:09",1,-73.8711242675781,40.7738876342773,-73.9906387329102,40.7027244567871,"N",1424
"1401226","id0434093",1,"2016-03-13 06:13:34","2016-03-13 06:46:21",1,-73.782341003418,40.6447105407715,-73.7818603515625,40.644718170166,"N",1967
"499209","id2776355",1,"2016-04-02 09:36:25","2016-04-02 09:41:27",1,-73.9721145629883,40.7457160949707,-73.9803695678711,40.7464752197266,"N",302
"59805","id2179817",2,"2016-06-25 23:30:09","2016-06-25 23:56:00",5,-73.9818801879883,40.7492866516113,-73.9160385131836,40.7584953308105,"N",1551
"308276","id1531858",2,"2016-01-14 03:23:11","2016-01-14 03:28:30",2,-74.0052947998047,40.7403182983398,-74.0044097900391,40.7215461730957,"N",319
"680209","id0275297",2,"2016-05-28 04:30:50","2016-05-28 04:34:34",1,-73.9916534423828,40.7496910095215,-73.9897994995117,40.7564392089844,"N",224
"793101","id2520019",1,"2016-01-16 14:53:01","2016-01-16 14:59:59",1,-73.9877777099609,40.7382431030273,-73.9737243652344,40.7434768676758,"N",418
